Name,Profession,Rank
Titus Welliver,Actor,1.
Liza Minnelli,Soundtrack,2.
Aaron Eckhart,Actor,3.
Malina Weissman,Actress,4.
Jason Beghe,Actor,5.
Frank Welker,Actor,6.
Lesley Manville,Actress,7.
Jo Hartley,Actress,8.
Jama Williamson,Actress,9.
Julia Campbell,Actress,10.
Richard Harrington,Actor,11.
Courtney B. Vance,Actor,12.
Barbara Feldon,Actress,13.
Rhys Coiro,Actor,14.
Wei Zhao,Actress,15.
Samm Levine,Actor,16.
Rick Worthy,Actor,17.
Jason Lively,Actor,18.
Jerry Levine,Actor,19.
Rob Cohen,Director,20.
Chris Sanders,Writer,21.
Camille Anderson,Actress,22.
Luis Gerardo Méndez,Actor,23.
Luenell,Actress,24.
Julius Carry,Actor,25.
Gordon MacRae,Actor,26.
Caren Kaye,Actress,27.
Jon Provost,Actor,28.
Frank Overton,Actor,29.
Googie Withers,Actress,30.
Takashi Shimura,Actor,31.
Charles Levin,Actor,32.
Katherine Woodville,Actress,33.
Julian Firth,Actor,34.
Dean Cundey,Cinematographer,35.
Sara Lane,Actress,36.
James Taylor,Soundtrack,37.
Bjarne Mädel,Actor,38.
Elizabeth Regen,Actress,39.
Billie 'Buckwheat' Thomas,Actor,40.
John-Paul Lavoisier,Actor,41.
Vladek Sheybal,Actor,42.
Christina Grimmie,Soundtrack,43.
Tyler Patrick Jones,Actor,44.
Myrna Fahey,Actress,45.
Anna Björk,Actress,46.
Jeff Osterhage,Actor,47.
Masuimi Max,Actress,48.
Kendall Applegate,Actress,49.
Heidi Marnhout,Actress,50.
